User ID,Property ID,Text Score,Feature Score,Final Match Score
16,5,33.33,100.0,66.66
13,5,29.63,100.0,64.81
23,30,28.57,100.0,64.28
20,30,27.59,100.0,63.8
25,30,25.93,100.0,62.97
13,17,25.93,100.0,62.97
13,30,25.93,100.0,62.97
16,17,23.33,100.0,61.66
3,5,22.58,100.0,61.29
25,17,22.22,100.0,61.11
25,5,22.22,100.0,61.11
23,17,21.43,100.0,60.72
23,5,21.43,100.0,60.72
2,18,21.05,100.0,60.52
21,18,20.69,100.0,60.34
12,19,20.0,100.0,60.0
3,17,19.35,100.0,59.67
6,17,19.35,100.0,59.67
6,5,19.35,100.0,59.67
3,30,19.35,100.0,59.67
18,23,18.52,100.0,59.26
7,18,18.18,100.0,59.09
23,9,17.86,100.0,58.93
21,19,17.24,100.0,58.62
20,17,17.24,100.0,58.62
24,18,16.67,100.0,58.34
16,30,16.67,100.0,58.34
24,19,16.67,100.0,58.34
6,30,16.13,100.0,58.06
12,18,16.0,100.0,58.0
2,19,15.79,100.0,57.89
13,9,14.81,100.0,57.41
20,5,13.79,100.0,56.89
11,23,13.79,100.0,56.89
7,19,12.12,100.0,56.06
25,9,11.11,100.0,55.55
11,7,10.34,100.0,55.17
20,9,10.34,100.0,55.17
16,9,10.0,100.0,55.0
6,9,9.68,100.0,54.84
3,9,9.68,100.0,54.84
24,6,33.33,66.67,50.0
21,6,27.59,66.67,47.13
25,8,25.93,66.67,46.3
13,3,25.93,66.67,46.3
18,13,25.93,66.67,46.3
11,1,24.14,66.67,45.41
11,4,24.14,66.67,45.41
12,6,24.0,66.67,45.34
2,6,23.68,66.67,45.17
6,8,22.58,66.67,44.62
18,22,22.22,66.67,44.45
13,13,22.22,66.67,44.45
18,4,22.22,66.67,44.45
23,13,21.43,66.67,44.05
19,21,21.43,66.67,44.05
17,19,21.43,66.67,44.05
14,21,21.43,66.67,44.05
7,6,21.21,66.67,43.94
20,13,20.69,66.67,43.68
16,3,20.0,66.67,43.34
9,20,20.0,66.67,43.34
6,13,19.35,66.67,43.01
10,18,18.52,66.67,42.59
10,19,18.52,66.67,42.59
13,2,18.52,66.67,42.59
13,15,18.52,66.67,42.59
18,10,18.52,66.67,42.59
25,13,18.52,66.67,42.59
25,3,18.52,66.67,42.59
15,26,18.18,66.67,42.42
15,21,18.18,66.67,42.42
17,18,17.86,66.67,42.27
17,3,17.86,66.67,42.27
23,15,17.86,66.67,42.27
23,20,17.86,66.67,42.27
20,15,17.24,66.67,41.95
21,3,17.24,66.67,41.95
11,13,17.24,66.67,41.95
16,13,16.67,66.67,41.67
16,8,16.67,66.67,41.67
9,14,16.67,66.67,41.67
16,16,16.67,66.67,41.67
9,26,16.67,66.67,41.67
3,8,16.13,66.67,41.4
3,29,16.13,66.67,41.4
6,2,16.13,66.67,41.4
6,3,16.13,66.67,41.4
3,13,16.13,66.67,41.4
12,3,16.0,66.67,41.34
12,26,16.0,66.67,41.34
2,26,15.79,66.67,41.23
2,3,15.79,66.67,41.23
7,3,15.15,66.67,40.91
25,16,14.81,66.67,40.74
25,2,14.81,66.67,40.74
25,15,14.81,66.67,40.74
13,20,14.81,66.67,40.74
23,2,14.29,66.67,40.48
23,3,14.29,66.67,40.48
14,26,14.29,66.67,40.48
19,26,14.29,66.67,40.48
4,28,13.89,66.67,40.28
11,22,13.79,66.67,40.23
11,12,13.79,66.67,40.23
8,21,13.79,66.67,40.23
11,10,13.79,66.67,40.23
21,26,13.79,66.67,40.23
20,3,13.79,66.67,40.23
20,20,13.79,66.67,40.23
11,11,13.79,66.67,40.23
24,26,13.33,66.67,40.0
16,15,13.33,66.67,40.0
16,2,13.33,66.67,40.0
22,21,13.33,66.67,40.0
9,21,13.33,66.67,40.0
22,26,13.33,66.67,40.0
24,3,13.33,66.67,40.0
6,15,12.9,66.67,39.79
6,16,12.9,66.67,39.79
3,15,12.9,66.67,39.79
3,2,12.9,66.67,39.79
3,3,12.9,66.67,39.79
1,26,12.82,66.67,39.75
1,21,12.82,66.67,39.75
7,26,12.12,66.67,39.4
5,26,11.43,66.67,39.05
18,7,11.11,66.67,38.89
18,12,11.11,66.67,38.89
4,26,11.11,66.67,38.89
25,20,11.11,66.67,38.89
18,29,11.11,66.67,38.89
8,26,10.34,66.67,38.51
20,2,10.34,66.67,38.51
11,29,10.34,66.67,38.51
1,14,10.26,66.67,38.47
1,20,10.26,66.67,38.47
16,20,10.0,66.67,38.34
3,16,9.68,66.67,38.17
3,24,9.68,66.67,38.17
6,20,9.68,66.67,38.17
5,21,8.57,66.67,37.62
3,20,6.45,66.67,36.56
10,6,37.04,33.33,35.19
15,6,36.36,33.33,34.84
25,6,33.33,33.33,33.33
14,6,32.14,33.33,32.73
20,6,31.03,33.33,32.18
22,6,30.0,33.33,31.66
13,6,29.63,33.33,31.48
18,6,29.63,33.33,31.48
6,6,29.03,33.33,31.18
14,5,28.57,33.33,30.95
23,6,28.57,33.33,30.95
19,6,28.57,33.33,30.95
17,6,28.57,33.33,30.95
17,4,28.57,33.33,30.95
12,4,28.0,33.33,30.66
11,6,27.59,33.33,30.46
11,19,27.59,33.33,30.46
11,5,27.59,33.33,30.46
15,10,27.27,33.33,30.3
15,17,27.27,33.33,30.3
15,8,27.27,33.33,30.3
15,1,27.27,33.33,30.3
15,2,27.27,33.33,30.3
22,1,26.67,33.33,30.0
9,6,26.67,33.33,30.0
10,4,25.93,33.33,29.63
25,4,25.93,33.33,29.63
19,1,25.0,33.33,29.16
17,17,25.0,33.33,29.16
19,5,25.0,33.33,29.16
11,3,24.14,33.33,28.73
20,8,24.14,33.33,28.73
21,4,24.14,33.33,28.73
8,6,24.14,33.33,28.73
11,17,24.14,33.33,28.73
11,30,24.14,33.33,28.73
8,5,24.14,33.33,28.73
12,17,24.0,33.33,28.66
22,5,23.33,33.33,28.33
9,30,23.33,33.33,28.33
24,4,23.33,33.33,28.33
9,18,23.33,33.33,28.33
9,10,23.33,33.33,28.33
9,1,23.33,33.33,28.33
16,6,23.33,33.33,28.33
5,3,22.86,33.33,28.09
5,6,22.86,33.33,28.09
15,14,22.73,33.33,28.03
15,23,22.73,33.33,28.03
15,5,22.73,33.33,28.03
15,19,22.73,33.33,28.03
3,6,22.58,33.33,27.95
18,5,22.22,33.33,27.77
18,1,22.22,33.33,27.77
18,30,22.22,33.33,27.77
13,8,22.22,33.33,27.77
13,23,22.22,33.33,27.77
13,14,22.22,33.33,27.77
10,22,22.22,33.33,27.77
13,19,22.22,33.33,27.77
14,8,21.43,33.33,27.38
14,3,21.43,33.33,27.38
23,18,21.43,33.33,27.38
19,17,21.43,33.33,27.38
17,5,21.43,33.33,27.38
14,17,21.43,33.33,27.38
17,28,21.43,33.33,27.38
17,14,21.43,33.33,27.38
19,3,21.43,33.33,27.38
2,4,21.05,33.33,27.19
8,17,20.69,33.33,27.01
20,23,20.69,33.33,27.01
11,8,20.69,33.33,27.01
20,24,20.69,33.33,27.01
21,5,20.69,33.33,27.01
1,5,20.51,33.33,26.92
24,13,20.0,33.33,26.66
24,23,20.0,33.33,26.66
5,5,20.0,33.33,26.66
22,8,20.0,33.33,26.66
22,14,20.0,33.33,26.66
22,17,20.0,33.33,26.66
22,3,20.0,33.33,26.66
24,17,20.0,33.33,26.66
16,10,20.0,33.33,26.66
16,4,20.0,33.33,26.66
12,5,20.0,33.33,26.66
9,9,20.0,33.33,26.66
9,17,20.0,33.33,26.66
22,23,20.0,33.33,26.66
9,13,20.0,33.33,26.66
12,23,20.0,33.33,26.66
22,10,20.0,33.33,26.66
5,8,20.0,33.33,26.66
5,28,20.0,33.33,26.66
12,2,20.0,33.33,26.66
9,8,20.0,33.33,26.66
9,23,20.0,33.33,26.66
12,14,20.0,33.33,26.66
4,5,19.44,33.33,26.38
4,17,19.44,33.33,26.38
4,4,19.44,33.33,26.38
4,8,19.44,33.33,26.38
6,4,19.35,33.33,26.34
3,4,19.35,33.33,26.34
6,24,19.35,33.33,26.34
3,22,19.35,33.33,26.34
25,22,18.52,33.33,25.92
10,16,18.52,33.33,25.92
10,14,18.52,33.33,25.92
10,2,18.52,33.33,25.92
18,8,18.52,33.33,25.92
25,10,18.52,33.33,25.92
18,14,18.52,33.33,25.92
25,14,18.52,33.33,25.92
25,19,18.52,33.33,25.92
18,19,18.52,33.33,25.92
25,23,18.52,33.33,25.92
13,22,18.52,33.33,25.92
13,26,18.52,33.33,25.92
13,16,18.52,33.33,25.92
13,18,18.52,33.33,25.92
13,29,18.52,33.33,25.92
18,3,18.52,33.33,25.92
18,17,18.52,33.33,25.92
18,11,18.52,33.33,25.92
2,2,18.42,33.33,25.88
2,13,18.42,33.33,25.88
2,17,18.42,33.33,25.88
2,23,18.42,33.33,25.88
15,22,18.18,33.33,25.75
15,28,18.18,33.33,25.75
7,13,18.18,33.33,25.75
15,3,18.18,33.33,25.75
15,18,18.18,33.33,25.75
1,8,17.95,33.33,25.64
1,6,17.95,33.33,25.64
1,13,17.95,33.33,25.64
1,28,17.95,33.33,25.64
1,9,17.95,33.33,25.64
19,8,17.86,33.33,25.59
19,23,17.86,33.33,25.59
19,14,17.86,33.33,25.59
17,13,17.86,33.33,25.59
17,16,17.86,33.33,25.59
17,26,17.86,33.33,25.59
17,24,17.86,33.33,25.59
19,19,17.86,33.33,25.59
19,10,17.86,33.33,25.59
19,13,17.86,33.33,25.59
19,2,17.86,33.33,25.59
23,8,17.86,33.33,25.59
14,23,17.86,33.33,25.59
14,14,17.86,33.33,25.59
14,1,17.86,33.33,25.59
14,19,17.86,33.33,25.59
17,2,17.86,33.33,25.59
23,23,17.86,33.33,25.59
23,29,17.86,33.33,25.59
20,18,17.24,33.33,25.28
11,25,17.24,33.33,25.28
11,28,17.24,33.33,25.28
11,14,17.24,33.33,25.28
20,22,17.24,33.33,25.28
21,2,17.24,33.33,25.28
21,14,17.24,33.33,25.28
21,17,17.24,33.33,25.28
8,1,17.24,33.33,25.28
8,10,17.24,33.33,25.28
8,13,17.24,33.33,25.28
8,8,17.24,33.33,25.28
11,18,17.24,33.33,25.28
11,21,17.24,33.33,25.28
5,13,17.14,33.33,25.23
5,18,17.14,33.33,25.23
5,17,17.14,33.33,25.23
5,1,17.14,33.33,25.23
5,2,17.14,33.33,25.23
5,9,17.14,33.33,25.23
9,28,16.67,33.33,25.0
24,5,16.67,33.33,25.0
24,22,16.67,33.33,25.0
24,2,16.67,33.33,25.0
4,25,16.67,33.33,25.0
4,19,16.67,33.33,25.0
9,3,16.67,33.33,25.0
4,18,16.67,33.33,25.0
16,19,16.67,33.33,25.0
22,18,16.67,33.33,25.0
22,19,16.67,33.33,25.0
22,2,16.67,33.33,25.0
22,22,16.67,33.33,25.0
9,2,16.67,33.33,25.0
16,22,16.67,33.33,25.0
16,14,16.67,33.33,25.0
24,14,16.67,33.33,25.0
3,10,16.13,33.33,24.73
6,19,16.13,33.33,24.73
3,19,16.13,33.33,24.73
6,14,16.13,33.33,24.73
12,27,16.0,33.33,24.66
12,16,16.0,33.33,24.66
12,28,16.0,33.33,24.66
12,13,16.0,33.33,24.66
2,27,15.79,33.33,24.56
2,28,15.79,33.33,24.56
1,17,15.38,33.33,24.36
1,10,15.38,33.33,24.36
1,22,15.38,33.33,24.36
1,18,15.38,33.33,24.36
7,2,15.15,33.33,24.24
7,27,15.15,33.33,24.24
7,23,15.15,33.33,24.24
7,17,15.15,33.33,24.24
7,28,15.15,33.33,24.24
7,4,15.15,33.33,24.24
25,26,14.81,33.33,24.07
13,24,14.81,33.33,24.07
10,27,14.81,33.33,24.07
10,28,14.81,33.33,24.07
10,26,14.81,33.33,24.07
25,29,14.81,33.33,24.07
25,24,14.81,33.33,24.07
18,18,14.81,33.33,24.07
25,18,14.81,33.33,24.07
18,2,14.81,33.33,24.07
10,24,14.81,33.33,24.07
10,3,14.81,33.33,24.07
18,16,14.81,33.33,24.07
10,12,14.81,33.33,24.07
5,20,14.29,33.33,23.81
19,28,14.29,33.33,23.81
23,14,14.29,33.33,23.81
14,13,14.29,33.33,23.81
14,28,14.29,33.33,23.81
17,27,14.29,33.33,23.81
5,14,14.29,33.33,23.81
5,19,14.29,33.33,23.81
23,26,14.29,33.33,23.81
23,22,14.29,33.33,23.81
17,12,14.29,33.33,23.81
23,19,14.29,33.33,23.81
14,18,14.29,33.33,23.81
14,10,14.29,33.33,23.81
17,22,14.29,33.33,23.81
19,20,14.29,33.33,23.81
19,9,14.29,33.33,23.81
19,18,14.29,33.33,23.81
4,21,13.89,33.33,23.61
4,3,13.89,33.33,23.61
4,1,13.89,33.33,23.61
8,18,13.79,33.33,23.56
11,2,13.79,33.33,23.56
8,9,13.79,33.33,23.56
11,24,13.79,33.33,23.56
11,15,13.79,33.33,23.56
11,16,13.79,33.33,23.56
21,28,13.79,33.33,23.56
21,24,13.79,33.33,23.56
20,26,13.79,33.33,23.56
20,19,13.79,33.33,23.56
11,27,13.79,33.33,23.56
20,29,13.79,33.33,23.56
11,9,13.79,33.33,23.56
8,28,13.79,33.33,23.56
20,14,13.79,33.33,23.56
11,26,13.79,33.33,23.56
8,3,13.79,33.33,23.56
20,16,13.79,33.33,23.56
8,23,13.79,33.33,23.56
21,22,13.79,33.33,23.56
21,16,13.79,33.33,23.56
21,23,13.79,33.33,23.56
15,9,13.64,33.33,23.48
15,25,13.64,33.33,23.48
15,20,13.64,33.33,23.48
15,13,13.64,33.33,23.48
9,19,13.33,33.33,23.33
22,20,13.33,33.33,23.33
24,16,13.33,33.33,23.33
24,28,13.33,33.33,23.33
24,24,13.33,33.33,23.33
24,27,13.33,33.33,23.33
9,5,13.33,33.33,23.33
22,28,13.33,33.33,23.33
22,13,13.33,33.33,23.33
16,18,13.33,33.33,23.33
16,23,13.33,33.33,23.33
2,22,13.16,33.33,23.24
2,16,13.16,33.33,23.24
2,5,13.16,33.33,23.24
2,14,13.16,33.33,23.24
6,22,12.9,33.33,23.11
6,18,12.9,33.33,23.11
6,10,12.9,33.33,23.11
3,14,12.9,33.33,23.11
3,18,12.9,33.33,23.11
3,26,12.9,33.33,23.11
3,23,12.9,33.33,23.11
6,23,12.9,33.33,23.11
1,19,12.82,33.33,23.07
1,30,12.82,33.33,23.07
1,1,12.82,33.33,23.07
1,2,12.82,33.33,23.07
1,3,12.82,33.33,23.07
7,16,12.12,33.33,22.72
7,14,12.12,33.33,22.72
7,5,12.12,33.33,22.72
12,22,12.0,33.33,22.66
12,12,12.0,33.33,22.66
12,24,12.0,33.33,22.66
5,22,11.43,33.33,22.38
5,10,11.43,33.33,22.38
5,23,11.43,33.33,22.38
18,20,11.11,33.33,22.22
4,13,11.11,33.33,22.22
18,24,11.11,33.33,22.22
4,10,11.11,33.33,22.22
23,16,10.71,33.33,22.02
19,22,10.71,33.33,22.02
19,25,10.71,33.33,22.02
14,25,10.71,33.33,22.02
14,20,10.71,33.33,22.02
23,24,10.71,33.33,22.02
2,12,10.53,33.33,21.93
2,24,10.53,33.33,21.93
8,25,10.34,33.33,21.84
8,19,10.34,33.33,21.84
8,22,10.34,33.33,21.84
8,2,10.34,33.33,21.84
8,14,10.34,33.33,21.84
21,13,10.34,33.33,21.84
21,27,10.34,33.33,21.84
11,20,10.34,33.33,21.84
1,23,10.26,33.33,21.79
22,9,10.0,33.33,21.66
22,25,10.0,33.33,21.66
16,26,10.0,33.33,21.66
16,24,10.0,33.33,21.66
16,29,10.0,33.33,21.66
24,12,10.0,33.33,21.66
9,22,10.0,33.33,21.66
6,29,9.68,33.33,21.5
3,12,9.68,33.33,21.5
6,26,9.68,33.33,21.5
7,22,9.09,33.33,21.21
7,12,9.09,33.33,21.21
7,24,9.09,33.33,21.21
1,25,7.69,33.33,20.51
18,26,7.41,33.33,20.37
18,9,7.41,33.33,20.37
21,12,6.9,33.33,20.11
8,20,6.9,33.33,20.11
9,25,6.67,33.33,20.0
5,25,5.71,33.33,19.52
15,4,31.82,0.0,15.91
10,10,29.63,0.0,14.81
17,30,28.57,0.0,14.29
17,1,28.57,0.0,14.29
23,1,28.57,0.0,14.29
20,1,27.59,0.0,13.79
15,30,27.27,0.0,13.63
24,1,26.67,0.0,13.34
22,30,26.67,0.0,13.34
24,30,26.67,0.0,13.34
25,1,25.93,0.0,12.96
13,4,25.93,0.0,12.96
10,1,25.93,0.0,12.96
10,30,25.93,0.0,12.96
13,1,25.93,0.0,12.96
17,8,25.0,0.0,12.5
19,30,25.0,0.0,12.5
17,10,25.0,0.0,12.5
23,7,25.0,0.0,12.5
19,4,25.0,0.0,12.5
20,21,24.14,0.0,12.07
12,30,24.0,0.0,12.0
12,1,24.0,0.0,12.0
12,25,24.0,0.0,12.0
2,30,23.68,0.0,11.84
2,1,23.68,0.0,11.84
24,10,23.33,0.0,11.66
22,4,23.33,0.0,11.66
9,4,23.33,0.0,11.66
15,7,22.73,0.0,11.37
3,25,22.58,0.0,11.29
10,23,22.22,0.0,11.11
10,5,22.22,0.0,11.11
10,8,22.22,0.0,11.11
13,21,22.22,0.0,11.11
10,17,22.22,0.0,11.11
23,4,21.43,0.0,10.71
17,23,21.43,0.0,10.71
14,2,21.43,0.0,10.71
14,4,21.43,0.0,10.71
7,1,21.21,0.0,10.61
7,30,21.21,0.0,10.61
7,15,21.21,0.0,10.61
2,9,21.05,0.0,10.53
2,15,21.05,0.0,10.53
2,10,21.05,0.0,10.53
20,4,20.69,0.0,10.35
20,10,20.69,0.0,10.35
24,8,20.0,0.0,10.0
12,10,20.0,0.0,10.0
12,8,20.0,0.0,10.0
12,7,20.0,0.0,10.0
4,6,19.44,0.0,9.72
3,1,19.35,0.0,9.68
